circlename,regionname,divisionname,officename,pincode,officetype,delivery,district,statename,latitude,longitude
Uttar Pradesh Circle,Prayagraj Regional Office,Mirzapur Division,Siltham BO,231213,BO,Delivery,SONBHADRA,UTTAR PRADESH,24.658661,83.197733
Uttar Pradesh Circle,Prayagraj Regional Office,Mirzapur Division,Aamdih B.O,231213,BO,Delivery,SONBHADRA,UTTAR PRADESH,24.743935,83.373425999999995
Uttar Pradesh Circle,Prayagraj Regional Office,Mirzapur Division,Chatara B.O,231213,BO,Delivery,SONBHADRA,UTTAR PRADESH,24.668232,83.194160999999994
Uttar Pradesh Circle,Prayagraj Regional Office,Mirzapur Division,Kajiyari B.O,231213,BO,Delivery,SONBHADRA,UTTAR PRADESH,24.702178,83.421338000000006
Uttar Pradesh Circle,Prayagraj Regional Office,Mirzapur Division,Palhari B.O,231213,BO,Delivery,SONBHADRA,UTTAR PRADESH,24.645424999999999,83.238478000000001
Uttar Pradesh Circle,Prayagraj Regional Office,Mirzapur Division,Panaura B.O,231213,BO,Delivery,SONBHADRA,UTTAR PRADESH,24.567613000000001,83.418304000000006
Uttar Pradesh Circle,Prayagraj Regional Office,Mirzapur Division,Purana Kalan B.O,231213,BO,Delivery,SONBHADRA,UTTAR PRADESH,24.665755000000001,83.235213000000002
Uttar Pradesh Circle,Prayagraj Regional Office,Mirzapur Division,Tenua B.O,231213,BO,Delivery,SONBHADRA,UTTAR PRADESH,24.741512,83.393162000000004
Uttar Pradesh Circle,Prayagraj Regional Office,Mirzapur Division,Belhatthi BO,231217,BO,Delivery,SONBHADRA,UTTAR PRADESH,24.30578,83.046737
Uttar Pradesh Circle,Prayagraj Regional Office,Mirzapur Division,Dharnipur BO,231216,BO,Delivery,SONBHADRA,UTTAR PRADESH,24.708324,83.093844
Uttar Pradesh Circle,Prayagraj Regional Office,Mirzapur Division,Khairpur BO,231216,BO,Delivery,SONBHADRA,UTTAR PRADESH,24.8561063,82.9703098
